date,stock_id,country,revenue,revenue_month,revenue_year,create_time
2023-01-01,6697,Taiwan,83387000,12,2022,
2023-02-01,6697,Taiwan,239329000,1,2023,
2023-03-01,6697,Taiwan,85795000,2,2023,
2023-04-01,6697,Taiwan,75541000,3,2023,
2023-05-01,6697,Taiwan,90493000,4,2023,
2023-06-01,6697,Taiwan,85411000,5,2023,
2023-07-01,6697,Taiwan,105970000,6,2023,
2023-08-01,6697,Taiwan,100239000,7,2023,
2023-09-01,6697,Taiwan,125240000,8,2023,
2023-10-01,6697,Taiwan,106527000,9,2023,
2023-11-01,6697,Taiwan,81094000,10,2023,
2023-12-01,6697,Taiwan,97598000,11,2023,
2024-01-01,6697,Taiwan,150081000,12,2023,
2024-02-01,6697,Taiwan,214615000,1,2024,
2024-03-01,6697,Taiwan,67215000,2,2024,
2024-04-01,6697,Taiwan,82499000,3,2024,
2024-05-01,6697,Taiwan,80790000,4,2024,
2024-06-01,6697,Taiwan,72597000,5,2024,
2024-07-01,6697,Taiwan,102160000,6,2024,
2024-08-01,6697,Taiwan,84032000,7,2024,
2024-09-01,6697,Taiwan,101832000,8,2024,
2024-10-01,6697,Taiwan,86357000,9,2024,
2024-11-01,6697,Taiwan,101367000,10,2024,
2024-12-01,6697,Taiwan,96409000,11,2024,
2025-01-01,6697,Taiwan,150764000,12,2024,
2025-02-01,6697,Taiwan,212814000,1,2025,
2025-03-01,6697,Taiwan,62970000,2,2025,
2025-04-01,6697,Taiwan,114646000,3,2025,
2025-05-01,6697,Taiwan,106166000,4,2025,
2025-06-01,6697,Taiwan,88983000,5,2025,
2025-07-01,6697,Taiwan,103794000,6,2025,
2025-08-01,6697,Taiwan,143361000,7,2025,
2025-09-01,6697,Taiwan,95284000,8,2025,
2025-10-01,6697,Taiwan,93245000,9,2025,
2025-11-01,6697,Taiwan,144173000,10,2025,
2025-12-01,6697,Taiwan,98673000,11,2025,
2026-01-01,6697,Taiwan,88214000,12,2025,
2026-02-01,6697,Taiwan,220199000,1,2026,
2026-03-01,6697,Taiwan,95427000,2,2026,2026-04-21
2026-04-01,6697,Taiwan,103852000,3,2026,2026-04-20
2026-05-01,6697,Taiwan,98685000,4,2026,2026-05-09
2026-06-01,6697,Taiwan,94051000,5,2026,
2026-07-01,6697,Taiwan,99742000,6,2026,
2026-08-01,6697,Taiwan,117396000,7,2026,
