date,stock_id,country,revenue,revenue_month,revenue_year,create_time
2023-01-01,3321,Taiwan,109419000,12,2022,
2023-02-01,3321,Taiwan,81615000,1,2023,
2023-03-01,3321,Taiwan,108258000,2,2023,
2023-04-01,3321,Taiwan,127762000,3,2023,
2023-05-01,3321,Taiwan,134122000,4,2023,
2023-06-01,3321,Taiwan,141464000,5,2023,
2023-07-01,3321,Taiwan,144795000,6,2023,
2023-08-01,3321,Taiwan,152270000,7,2023,
2023-09-01,3321,Taiwan,136819000,8,2023,
2023-10-01,3321,Taiwan,136725000,9,2023,
2023-11-01,3321,Taiwan,128999000,10,2023,
2023-12-01,3321,Taiwan,131827000,11,2023,
2024-01-01,3321,Taiwan,116557000,12,2023,
2024-02-01,3321,Taiwan,152432000,1,2024,
2024-03-01,3321,Taiwan,98927000,2,2024,
2024-04-01,3321,Taiwan,168078000,3,2024,
2024-05-01,3321,Taiwan,182779000,4,2024,
2024-06-01,3321,Taiwan,190814000,5,2024,
2024-07-01,3321,Taiwan,179319000,6,2024,
2024-08-01,3321,Taiwan,163087000,7,2024,
2024-09-01,3321,Taiwan,175658000,8,2024,
2024-10-01,3321,Taiwan,165969000,9,2024,
2024-11-01,3321,Taiwan,152677000,10,2024,
2024-12-01,3321,Taiwan,176686000,11,2024,
2025-01-01,3321,Taiwan,159713000,12,2024,
2025-02-01,3321,Taiwan,149434000,1,2025,
2025-03-01,3321,Taiwan,138854000,2,2025,
2025-04-01,3321,Taiwan,168698000,3,2025,
2025-05-01,3321,Taiwan,183343000,4,2025,
2025-06-01,3321,Taiwan,173595000,5,2025,
2025-07-01,3321,Taiwan,192632000,6,2025,
2025-08-01,3321,Taiwan,201654000,7,2025,
2025-09-01,3321,Taiwan,200133000,8,2025,
2025-10-01,3321,Taiwan,211834000,9,2025,
2025-11-01,3321,Taiwan,195674000,10,2025,
2025-12-01,3321,Taiwan,188826000,11,2025,
2026-01-01,3321,Taiwan,140352000,12,2025,
2026-02-01,3321,Taiwan,155839000,1,2026,
2026-03-01,3321,Taiwan,104904000,2,2026,2026-04-21
2026-04-01,3321,Taiwan,180162000,3,2026,2026-04-21
2026-05-01,3321,Taiwan,203881000,4,2026,2026-05-06
2026-06-01,3321,Taiwan,236870000,5,2026,
2026-07-01,3321,Taiwan,251699000,6,2026,
2026-08-01,3321,Taiwan,259529000,7,2026,
