date,stock_id,country,revenue,revenue_month,revenue_year,create_time
2023-01-01,1220,Taiwan,299446000,12,2022,
2023-02-01,1220,Taiwan,185500000,1,2023,
2023-03-01,1220,Taiwan,178573000,2,2023,
2023-04-01,1220,Taiwan,290668000,3,2023,
2023-05-01,1220,Taiwan,266541000,4,2023,
2023-06-01,1220,Taiwan,280527000,5,2023,
2023-07-01,1220,Taiwan,287673000,6,2023,
2023-08-01,1220,Taiwan,272888000,7,2023,
2023-09-01,1220,Taiwan,296778000,8,2023,
2023-10-01,1220,Taiwan,295646000,9,2023,
2023-11-01,1220,Taiwan,289053000,10,2023,
2023-12-01,1220,Taiwan,338368000,11,2023,
2024-01-01,1220,Taiwan,313541000,12,2023,
2024-02-01,1220,Taiwan,288895000,1,2024,
2024-03-01,1220,Taiwan,189790000,2,2024,
2024-04-01,1220,Taiwan,286684000,3,2024,
2024-05-01,1220,Taiwan,253570000,4,2024,
2024-06-01,1220,Taiwan,292960000,5,2024,
2024-07-01,1220,Taiwan,268122000,6,2024,
2024-08-01,1220,Taiwan,267181000,7,2024,
2024-09-01,1220,Taiwan,294205000,8,2024,
2024-10-01,1220,Taiwan,273209000,9,2024,
2024-11-01,1220,Taiwan,356483000,10,2024,
2024-12-01,1220,Taiwan,397129000,11,2024,
2025-01-01,1220,Taiwan,320533000,12,2024,
2025-02-01,1220,Taiwan,218906000,1,2025,
2025-03-01,1220,Taiwan,270707000,2,2025,
2025-04-01,1220,Taiwan,269636000,3,2025,
2025-05-01,1220,Taiwan,266521000,4,2025,
2025-06-01,1220,Taiwan,274366000,5,2025,
2025-07-01,1220,Taiwan,255918000,6,2025,
2025-08-01,1220,Taiwan,275553000,7,2025,
2025-09-01,1220,Taiwan,280352000,8,2025,
2025-10-01,1220,Taiwan,290497000,9,2025,
2025-11-01,1220,Taiwan,345775000,10,2025,
2025-12-01,1220,Taiwan,360840000,11,2025,
2026-01-01,1220,Taiwan,308992000,12,2025,
2026-02-01,1220,Taiwan,288493000,1,2026,
2026-03-01,1220,Taiwan,183280000,2,2026,2026-04-21
2026-04-01,1220,Taiwan,247224000,3,2026,2026-05-21
2026-05-01,1220,Taiwan,299352000,4,2026,2026-05-21
2026-06-01,1220,Taiwan,239785000,5,2026,
2026-07-01,1220,Taiwan,273600000,6,2026,
2026-08-01,1220,Taiwan,279357000,7,2026,
