date,stock_id,country,revenue,revenue_month,revenue_year,create_time
2023-01-01,2428,Taiwan,623649000,12,2022,
2023-02-01,2428,Taiwan,536287000,1,2023,
2023-03-01,2428,Taiwan,557138000,2,2023,
2023-04-01,2428,Taiwan,625340000,3,2023,
2023-05-01,2428,Taiwan,596886000,4,2023,
2023-06-01,2428,Taiwan,612338000,5,2023,
2023-07-01,2428,Taiwan,607352000,6,2023,
2023-08-01,2428,Taiwan,591321000,7,2023,
2023-09-01,2428,Taiwan,605630000,8,2023,
2023-10-01,2428,Taiwan,566456000,9,2023,
2023-11-01,2428,Taiwan,555327000,10,2023,
2023-12-01,2428,Taiwan,621016000,11,2023,
2024-01-01,2428,Taiwan,601720000,12,2023,
2024-02-01,2428,Taiwan,573749000,1,2024,
2024-03-01,2428,Taiwan,423977000,2,2024,
2024-04-01,2428,Taiwan,563480000,3,2024,
2024-05-01,2428,Taiwan,651147000,4,2024,
2024-06-01,2428,Taiwan,646754000,5,2024,
2024-07-01,2428,Taiwan,651705000,6,2024,
2024-08-01,2428,Taiwan,660316000,7,2024,
2024-09-01,2428,Taiwan,650842000,8,2024,
2024-10-01,2428,Taiwan,665600000,9,2024,
2024-11-01,2428,Taiwan,613409000,10,2024,
2024-12-01,2428,Taiwan,648349000,11,2024,
2025-01-01,2428,Taiwan,770123000,12,2024,
2025-02-01,2428,Taiwan,656871000,1,2025,
2025-03-01,2428,Taiwan,521049000,2,2025,
2025-04-01,2428,Taiwan,717614000,3,2025,
2025-05-01,2428,Taiwan,722609000,4,2025,
2025-06-01,2428,Taiwan,668821000,5,2025,
2025-07-01,2428,Taiwan,663913000,6,2025,
2025-08-01,2428,Taiwan,659874000,7,2025,
2025-09-01,2428,Taiwan,623344000,8,2025,
2025-10-01,2428,Taiwan,712386000,9,2025,
2025-11-01,2428,Taiwan,685051000,10,2025,
2025-12-01,2428,Taiwan,663297000,11,2025,
2026-01-01,2428,Taiwan,742848000,12,2025,
2026-02-01,2428,Taiwan,804324000,1,2026,
2026-03-01,2428,Taiwan,451215000,2,2026,2026-04-21
2026-04-01,2428,Taiwan,798392000,3,2026,2026-04-21
2026-05-01,2428,Taiwan,862401000,4,2026,2026-05-07
2026-06-01,2428,Taiwan,867735000,5,2026,
2026-07-01,2428,Taiwan,973436000,6,2026,
2026-08-01,2428,Taiwan,979022000,7,2026,
