date,stock_id,country,revenue,revenue_month,revenue_year,create_time
2023-01-01,1513,Taiwan,1573694000,12,2022,
2023-02-01,1513,Taiwan,1775922000,1,2023,
2023-03-01,1513,Taiwan,1982399000,2,2023,
2023-04-01,1513,Taiwan,2082959000,3,2023,
2023-05-01,1513,Taiwan,1431534000,4,2023,
2023-06-01,1513,Taiwan,1858144000,5,2023,
2023-07-01,1513,Taiwan,1640207000,6,2023,
2023-08-01,1513,Taiwan,1967699000,7,2023,
2023-09-01,1513,Taiwan,1849896000,8,2023,
2023-10-01,1513,Taiwan,1709458000,9,2023,
2023-11-01,1513,Taiwan,2005685000,10,2023,
2023-12-01,1513,Taiwan,1825133000,11,2023,
2024-01-01,1513,Taiwan,2015814000,12,2023,
2024-02-01,1513,Taiwan,1942911000,1,2024,
2024-03-01,1513,Taiwan,1860808000,2,2024,
2024-04-01,1513,Taiwan,2334931000,3,2024,
2024-05-01,1513,Taiwan,1912628000,4,2024,
2024-06-01,1513,Taiwan,2058815000,5,2024,
2024-07-01,1513,Taiwan,2162436000,6,2024,
2024-08-01,1513,Taiwan,2085481000,7,2024,
2024-09-01,1513,Taiwan,2195732000,8,2024,
2024-10-01,1513,Taiwan,2105114000,9,2024,
2024-11-01,1513,Taiwan,2323719000,10,2024,
2024-12-01,1513,Taiwan,2274184000,11,2024,
2025-01-01,1513,Taiwan,2352792000,12,2024,
2025-02-01,1513,Taiwan,1929217000,1,2025,
2025-03-01,1513,Taiwan,2155049000,2,2025,
2025-04-01,1513,Taiwan,2363392000,3,2025,
2025-05-01,1513,Taiwan,2179872000,4,2025,
2025-06-01,1513,Taiwan,2308539000,5,2025,
2025-07-01,1513,Taiwan,2616009000,6,2025,
2025-08-01,1513,Taiwan,2321409000,7,2025,
2025-09-01,1513,Taiwan,2297365000,8,2025,
2025-10-01,1513,Taiwan,2172084000,9,2025,
2025-11-01,1513,Taiwan,2217849000,10,2025,
2025-12-01,1513,Taiwan,2321427000,11,2025,
2026-01-01,1513,Taiwan,2564559000,12,2025,
2026-02-01,1513,Taiwan,2133688000,1,2026,
2026-03-01,1513,Taiwan,1879058000,2,2026,2026-04-21
2026-04-01,1513,Taiwan,2477893000,3,2026,2026-04-21
2026-05-01,1513,Taiwan,2307697000,4,2026,2026-05-08
2026-06-01,1513,Taiwan,2392022000,5,2026,
2026-07-01,1513,Taiwan,2833330000,6,2026,
2026-08-01,1513,Taiwan,2410391000,7,2026,
