date,stock_id,country,revenue,revenue_month,revenue_year,create_time
2023-01-01,3504,Taiwan,301150000,12,2022,
2023-02-01,3504,Taiwan,218404000,1,2023,
2023-03-01,3504,Taiwan,208023000,2,2023,
2023-04-01,3504,Taiwan,303165000,3,2023,
2023-05-01,3504,Taiwan,279406000,4,2023,
2023-06-01,3504,Taiwan,262910000,5,2023,
2023-07-01,3504,Taiwan,274825000,6,2023,
2023-08-01,3504,Taiwan,225923000,7,2023,
2023-09-01,3504,Taiwan,272500000,8,2023,
2023-10-01,3504,Taiwan,248164000,9,2023,
2023-11-01,3504,Taiwan,219043000,10,2023,
2023-12-01,3504,Taiwan,227566000,11,2023,
2024-01-01,3504,Taiwan,270440000,12,2023,
2024-02-01,3504,Taiwan,223115000,1,2024,
2024-03-01,3504,Taiwan,121204000,2,2024,
2024-04-01,3504,Taiwan,215811000,3,2024,
2024-05-01,3504,Taiwan,192912000,4,2024,
2024-06-01,3504,Taiwan,219422000,5,2024,
2024-07-01,3504,Taiwan,225242000,6,2024,
2024-08-01,3504,Taiwan,244039000,7,2024,
2024-09-01,3504,Taiwan,213455000,8,2024,
2024-10-01,3504,Taiwan,236830000,9,2024,
2024-11-01,3504,Taiwan,213473000,10,2024,
2024-12-01,3504,Taiwan,217427000,11,2024,
2025-01-01,3504,Taiwan,249098000,12,2024,
2025-02-01,3504,Taiwan,197795000,1,2025,
2025-03-01,3504,Taiwan,220282000,2,2025,
2025-04-01,3504,Taiwan,231972000,3,2025,
2025-05-01,3504,Taiwan,238215000,4,2025,
2025-06-01,3504,Taiwan,214491000,5,2025,
2025-07-01,3504,Taiwan,251778000,6,2025,
2025-08-01,3504,Taiwan,211851000,7,2025,
2025-09-01,3504,Taiwan,206876000,8,2025,
2025-10-01,3504,Taiwan,228444000,9,2025,
2025-11-01,3504,Taiwan,206982000,10,2025,
2025-12-01,3504,Taiwan,230030000,11,2025,
2026-01-01,3504,Taiwan,249811000,12,2025,
2026-02-01,3504,Taiwan,223542000,1,2026,
2026-03-01,3504,Taiwan,179404000,2,2026,2026-04-21
2026-04-01,3504,Taiwan,282011000,3,2026,2026-04-21
2026-05-01,3504,Taiwan,243545000,4,2026,2026-05-09
2026-06-01,3504,Taiwan,248949000,5,2026,
2026-07-01,3504,Taiwan,245781000,6,2026,
2026-08-01,3504,Taiwan,266608000,7,2026,
