date,stock_id,country,revenue,revenue_month,revenue_year,create_time
2023-01-01,5288,Taiwan,676139000,12,2022,
2023-02-01,5288,Taiwan,560950000,1,2023,
2023-03-01,5288,Taiwan,600204000,2,2023,
2023-04-01,5288,Taiwan,673398000,3,2023,
2023-05-01,5288,Taiwan,609262000,4,2023,
2023-06-01,5288,Taiwan,641483000,5,2023,
2023-07-01,5288,Taiwan,510068000,6,2023,
2023-08-01,5288,Taiwan,609979000,7,2023,
2023-09-01,5288,Taiwan,679091000,8,2023,
2023-10-01,5288,Taiwan,593275000,9,2023,
2023-11-01,5288,Taiwan,544560000,10,2023,
2023-12-01,5288,Taiwan,647437000,11,2023,
2024-01-01,5288,Taiwan,597620000,12,2023,
2024-02-01,5288,Taiwan,717234000,1,2024,
2024-03-01,5288,Taiwan,453564000,2,2024,
2024-04-01,5288,Taiwan,604356000,3,2024,
2024-05-01,5288,Taiwan,682413000,4,2024,
2024-06-01,5288,Taiwan,610118000,5,2024,
2024-07-01,5288,Taiwan,607758000,6,2024,
2024-08-01,5288,Taiwan,687903000,7,2024,
2024-09-01,5288,Taiwan,617222000,8,2024,
2024-10-01,5288,Taiwan,430057000,9,2024,
2024-11-01,5288,Taiwan,523526000,10,2024,
2024-12-01,5288,Taiwan,716860000,11,2024,
2025-01-01,5288,Taiwan,692347000,12,2024,
2025-02-01,5288,Taiwan,649624000,1,2025,
2025-03-01,5288,Taiwan,563988000,2,2025,
2025-04-01,5288,Taiwan,678636000,3,2025,
2025-05-01,5288,Taiwan,592304000,4,2025,
2025-06-01,5288,Taiwan,483014000,5,2025,
2025-07-01,5288,Taiwan,499464000,6,2025,
2025-08-01,5288,Taiwan,556594000,7,2025,
2025-09-01,5288,Taiwan,506479000,8,2025,
2025-10-01,5288,Taiwan,470209000,9,2025,
2025-11-01,5288,Taiwan,577222000,10,2025,
2025-12-01,5288,Taiwan,549014000,11,2025,
2026-01-01,5288,Taiwan,678521000,12,2025,
2026-02-01,5288,Taiwan,804362000,1,2026,
2026-03-01,5288,Taiwan,421616000,2,2026,2026-04-21
2026-04-01,5288,Taiwan,835163000,3,2026,2026-04-20
2026-05-01,5288,Taiwan,739443000,4,2026,2026-05-12
2026-06-01,5288,Taiwan,813884000,5,2026,2026-06-11
2026-07-01,5288,Taiwan,857013000,6,2026,2026-07-09
