date,stock_id,country,revenue,revenue_month,revenue_year,create_time
2023-01-01,3290,Taiwan,161357000,12,2022,
2023-02-01,3290,Taiwan,95870000,1,2023,
2023-03-01,3290,Taiwan,115840000,2,2023,
2023-04-01,3290,Taiwan,153806000,3,2023,
2023-05-01,3290,Taiwan,166136000,4,2023,
2023-06-01,3290,Taiwan,155249000,5,2023,
2023-07-01,3290,Taiwan,152971000,6,2023,
2023-08-01,3290,Taiwan,144543000,7,2023,
2023-09-01,3290,Taiwan,162915000,8,2023,
2023-10-01,3290,Taiwan,189836000,9,2023,
2023-11-01,3290,Taiwan,179624000,10,2023,
2023-12-01,3290,Taiwan,175477000,11,2023,
2024-01-01,3290,Taiwan,169456000,12,2023,
2024-02-01,3290,Taiwan,146583000,1,2024,
2024-03-01,3290,Taiwan,104196000,2,2024,
2024-04-01,3290,Taiwan,128840000,3,2024,
2024-05-01,3290,Taiwan,156739000,4,2024,
2024-06-01,3290,Taiwan,155606000,5,2024,
2024-07-01,3290,Taiwan,171896000,6,2024,
2024-08-01,3290,Taiwan,172299000,7,2024,
2024-09-01,3290,Taiwan,177700000,8,2024,
2024-10-01,3290,Taiwan,197584000,9,2024,
2024-11-01,3290,Taiwan,180011000,10,2024,
2024-12-01,3290,Taiwan,184084000,11,2024,
2025-01-01,3290,Taiwan,191371000,12,2024,
2025-02-01,3290,Taiwan,160457000,1,2025,
2025-03-01,3290,Taiwan,159164000,2,2025,
2025-04-01,3290,Taiwan,171526000,3,2025,
2025-05-01,3290,Taiwan,174677000,4,2025,
2025-06-01,3290,Taiwan,160409000,5,2025,
2025-07-01,3290,Taiwan,182765000,6,2025,
2025-08-01,3290,Taiwan,192874000,7,2025,
2025-09-01,3290,Taiwan,205936000,8,2025,
2025-10-01,3290,Taiwan,229014000,9,2025,
2025-11-01,3290,Taiwan,238297000,10,2025,
2025-12-01,3290,Taiwan,243077000,11,2025,
2026-01-01,3290,Taiwan,207345000,12,2025,
2026-02-01,3290,Taiwan,345687000,1,2026,
2026-03-01,3290,Taiwan,268225000,2,2026,2026-04-21
2026-04-01,3290,Taiwan,288289000,3,2026,2026-04-20
2026-05-01,3290,Taiwan,295820000,4,2026,2026-05-09
2026-06-01,3290,Taiwan,314658000,5,2026,
2026-07-01,3290,Taiwan,344907000,6,2026,
2026-08-01,3290,Taiwan,366177000,7,2026,
