date,stock_id,country,revenue,revenue_month,revenue_year,create_time
2023-01-01,2596,Taiwan,38911000,12,2022,
2023-02-01,2596,Taiwan,10211000,1,2023,
2023-03-01,2596,Taiwan,9288000,2,2023,
2023-04-01,2596,Taiwan,29999000,3,2023,
2023-05-01,2596,Taiwan,5166000,4,2023,
2023-06-01,2596,Taiwan,36353000,5,2023,
2023-07-01,2596,Taiwan,10320000,6,2023,
2023-08-01,2596,Taiwan,162223000,7,2023,
2023-09-01,2596,Taiwan,180178000,8,2023,
2023-10-01,2596,Taiwan,119248000,9,2023,
2023-11-01,2596,Taiwan,73063000,10,2023,
2023-12-01,2596,Taiwan,213582000,11,2023,
2024-01-01,2596,Taiwan,63350000,12,2023,
2024-02-01,2596,Taiwan,53799000,1,2024,
2024-03-01,2596,Taiwan,5039000,2,2024,
2024-04-01,2596,Taiwan,39765000,3,2024,
2024-05-01,2596,Taiwan,22506000,4,2024,
2024-06-01,2596,Taiwan,33855000,5,2024,
2024-07-01,2596,Taiwan,29309000,6,2024,
2024-08-01,2596,Taiwan,31210000,7,2024,
2024-09-01,2596,Taiwan,44536000,8,2024,
2024-10-01,2596,Taiwan,25493000,9,2024,
2024-11-01,2596,Taiwan,27601000,10,2024,
2024-12-01,2596,Taiwan,51535000,11,2024,
2025-01-01,2596,Taiwan,448359000,12,2024,
2025-02-01,2596,Taiwan,150728000,1,2025,
2025-03-01,2596,Taiwan,63529000,2,2025,
2025-04-01,2596,Taiwan,140350000,3,2025,
2025-05-01,2596,Taiwan,318792000,4,2025,
2025-06-01,2596,Taiwan,129406000,5,2025,
2025-07-01,2596,Taiwan,28433000,6,2025,
2025-08-01,2596,Taiwan,23069000,7,2025,
2025-09-01,2596,Taiwan,32149000,8,2025,
2025-10-01,2596,Taiwan,19545000,9,2025,
2025-11-01,2596,Taiwan,17058000,10,2025,
2025-12-01,2596,Taiwan,7654000,11,2025,
2026-01-01,2596,Taiwan,399237000,12,2025,
2026-02-01,2596,Taiwan,4439000,1,2026,
2026-03-01,2596,Taiwan,38782000,2,2026,2026-04-21
2026-04-01,2596,Taiwan,87740000,3,2026,2026-04-20
2026-05-01,2596,Taiwan,94157000,4,2026,2026-05-09
2026-06-01,2596,Taiwan,332929000,5,2026,
2026-07-01,2596,Taiwan,192060000,6,2026,
2026-08-01,2596,Taiwan,146580000,7,2026,
