date,stock_id,country,revenue,revenue_month,revenue_year,create_time
2023-01-01,6195,Taiwan,262561000,12,2022,
2023-02-01,6195,Taiwan,248759000,1,2023,
2023-03-01,6195,Taiwan,149936000,2,2023,
2023-04-01,6195,Taiwan,182257000,3,2023,
2023-05-01,6195,Taiwan,189117000,4,2023,
2023-06-01,6195,Taiwan,188607000,5,2023,
2023-07-01,6195,Taiwan,195430000,6,2023,
2023-08-01,6195,Taiwan,193135000,7,2023,
2023-09-01,6195,Taiwan,193071000,8,2023,
2023-10-01,6195,Taiwan,182048000,9,2023,
2023-11-01,6195,Taiwan,203505000,10,2023,
2023-12-01,6195,Taiwan,205336000,11,2023,
2024-01-01,6195,Taiwan,224618000,12,2023,
2024-02-01,6195,Taiwan,281223000,1,2024,
2024-03-01,6195,Taiwan,171734000,2,2024,
2024-04-01,6195,Taiwan,151530000,3,2024,
2024-05-01,6195,Taiwan,172654000,4,2024,
2024-06-01,6195,Taiwan,174964000,5,2024,
2024-07-01,6195,Taiwan,167749000,6,2024,
2024-08-01,6195,Taiwan,194814000,7,2024,
2024-09-01,6195,Taiwan,152542000,8,2024,
2024-10-01,6195,Taiwan,188183000,9,2024,
2024-11-01,6195,Taiwan,196478000,10,2024,
2024-12-01,6195,Taiwan,212482000,11,2024,
2025-01-01,6195,Taiwan,224278000,12,2024,
2025-02-01,6195,Taiwan,289551000,1,2025,
2025-03-01,6195,Taiwan,126808000,2,2025,
2025-04-01,6195,Taiwan,174680000,3,2025,
2025-05-01,6195,Taiwan,171188000,4,2025,
2025-06-01,6195,Taiwan,173709000,5,2025,
2025-07-01,6195,Taiwan,166396000,6,2025,
2025-08-01,6195,Taiwan,168974000,7,2025,
2025-09-01,6195,Taiwan,184038000,8,2025,
2025-10-01,6195,Taiwan,153235000,9,2025,
2025-11-01,6195,Taiwan,187770000,10,2025,
2025-12-01,6195,Taiwan,187058000,11,2025,
2026-01-01,6195,Taiwan,223529000,12,2025,
2026-02-01,6195,Taiwan,302200000,1,2026,
2026-03-01,6195,Taiwan,227681000,2,2026,2026-04-21
2026-04-01,6195,Taiwan,174205000,3,2026,2026-04-20
2026-05-01,6195,Taiwan,165173000,4,2026,2026-05-09
2026-06-01,6195,Taiwan,205148000,5,2026,
2026-07-01,6195,Taiwan,201144000,6,2026,
2026-08-01,6195,Taiwan,198160000,7,2026,
