date,stock_id,type,value,origin_name
2023-03-31,4440,CostOfGoodsSold,228826000.0,營業成本
2023-03-31,4440,EPS,0.16,基本每股盈餘
2023-03-31,4440,GrossProfit,28788000.0,營業毛利（毛損）
2023-03-31,4440,IncomeAfterTaxes,11009000.0,本期淨利（淨損）
2023-03-31,4440,IncomeFromContinuingOperations,11009000.0,繼續營業單位本期淨利（淨損）
2023-03-31,4440,OperatingExpenses,13694000.0,營業費用
2023-03-31,4440,OperatingIncome,15094000.0,營業利益（損失）
2023-03-31,4440,OtherComprehensiveIncome,662000.0,其他綜合損益（淨額）
2023-03-31,4440,PreTaxIncome,13690000.0,稅前淨利（淨損）
2023-03-31,4440,Revenue,257614000.0,營業收入
2023-03-31,4440,TAX,2681000.0,所得稅費用（利益）
2023-03-31,4440,TotalConsolidatedProfitForThePeriod,11671000.0,本期綜合損益總額
2023-03-31,4440,TotalNonoperatingIncomeAndExpense,-1404000.0,營業外收入及支出
2023-06-30,4440,CostOfGoodsSold,205282000.0,營業成本
2023-06-30,4440,EPS,0.11,基本每股盈餘
2023-06-30,4440,GrossProfit,17471000.0,營業毛利（毛損）
2023-06-30,4440,IncomeAfterTaxes,7618000.0,本期淨利（淨損）
2023-06-30,4440,IncomeFromContinuingOperations,7618000.0,繼續營業單位本期淨利（淨損）
2023-06-30,4440,OperatingExpenses,13207000.0,營業費用
2023-06-30,4440,OperatingIncome,4264000.0,營業利益（損失）
2023-06-30,4440,OtherComprehensiveIncome,-816000.0,其他綜合損益（淨額）
2023-06-30,4440,PreTaxIncome,10326000.0,稅前淨利（淨損）
2023-06-30,4440,Revenue,222753000.0,營業收入
2023-06-30,4440,TAX,2708000.0,所得稅費用（利益）
2023-06-30,4440,TotalConsolidatedProfitForThePeriod,6802000.0,本期綜合損益總額
2023-06-30,4440,TotalNonoperatingIncomeAndExpense,6062000.0,營業外收入及支出
2023-09-30,4440,CostOfGoodsSold,243084000.0,營業成本
2023-09-30,4440,EPS,0.08,基本每股盈餘
2023-09-30,4440,GrossProfit,22597000.0,營業毛利（毛損）
2023-09-30,4440,IncomeAfterTaxes,5676000.0,本期淨利（淨損）
2023-09-30,4440,IncomeFromContinuingOperations,5676000.0,繼續營業單位本期淨利（淨損）
2023-09-30,4440,OperatingExpenses,13836000.0,營業費用
2023-09-30,4440,OperatingIncome,8761000.0,營業利益（損失）
2023-09-30,4440,OtherComprehensiveIncome,-728000.0,其他綜合損益（淨額）
2023-09-30,4440,PreTaxIncome,6950000.0,稅前淨利（淨損）
2023-09-30,4440,Revenue,265681000.0,營業收入
2023-09-30,4440,TAX,1274000.0,所得稅費用（利益）
2023-09-30,4440,TotalConsolidatedProfitForThePeriod,4948000.0,本期綜合損益總額
2023-09-30,4440,TotalNonoperatingIncomeAndExpense,-1811000.0,營業外收入及支出
2023-12-31,4440,CostOfGoodsSold,228033000.0,營業成本
2023-12-31,4440,EPS,0.31,基本每股盈餘
2023-12-31,4440,GrossProfit,20220000.0,營業毛利（毛損）
2023-12-31,4440,IncomeAfterTaxes,20971000.0,本期淨利（淨損）
2023-12-31,4440,IncomeFromContinuingOperations,20971000.0,繼續營業單位本期淨利（淨損）
2023-12-31,4440,OTHNOE,0.0,其他收益及費損淨額
2023-12-31,4440,OperatingExpenses,16526000.0,營業費用
2023-12-31,4440,OperatingIncome,3694000.0,營業利益（損失）
2023-12-31,4440,OtherComprehensiveIncome,1105000.0,其他綜合損益（淨額）
2023-12-31,4440,PreTaxIncome,21425000.0,稅前淨利（淨損）
2023-12-31,4440,Revenue,248253000.0,營業收入
2023-12-31,4440,TAX,454000.0,所得稅費用（利益）
2023-12-31,4440,TotalConsolidatedProfitForThePeriod,22076000.0,本期綜合損益總額
2023-12-31,4440,TotalNonoperatingIncomeAndExpense,17731000.0,營業外收入及支出
2024-03-31,4440,CostOfGoodsSold,213741000.0,營業成本
2024-03-31,4440,EPS,0.51,基本每股盈餘
2024-03-31,4440,GrossProfit,21300000.0,營業毛利（毛損）
2024-03-31,4440,IncomeAfterTaxes,34519000.0,本期淨利（淨損）
2024-03-31,4440,IncomeFromContinuingOperations,34519000.0,繼續營業單位本期淨利（淨損）
2024-03-31,4440,OperatingExpenses,14175000.0,營業費用
2024-03-31,4440,OperatingIncome,7125000.0,營業利益（損失）
2024-03-31,4440,OtherComprehensiveIncome,410000.0,其他綜合損益（淨額）
2024-03-31,4440,PreTaxIncome,35414000.0,稅前淨利（淨損）
2024-03-31,4440,Revenue,235041000.0,營業收入
2024-03-31,4440,TAX,895000.0,所得稅費用（利益）
2024-03-31,4440,TotalConsolidatedProfitForThePeriod,34929000.0,本期綜合損益總額
2024-03-31,4440,TotalNonoperatingIncomeAndExpense,28289000.0,營業外收入及支出
2024-06-30,4440,CostOfGoodsSold,249240000.0,營業成本
2024-06-30,4440,EPS,0.49,基本每股盈餘
2024-06-30,4440,GrossProfit,36329000.0,營業毛利（毛損）
2024-06-30,4440,IncomeAfterTaxes,33182000.0,本期淨利（淨損）
2024-06-30,4440,IncomeFromContinuingOperations,33182000.0,繼續營業單位本期淨利（淨損）
2024-06-30,4440,OperatingExpenses,14370000.0,營業費用
2024-06-30,4440,OperatingIncome,21959000.0,營業利益（損失）
2024-06-30,4440,OtherComprehensiveIncome,1082000.0,其他綜合損益（淨額）
2024-06-30,4440,PreTaxIncome,35946000.0,稅前淨利（淨損）
2024-06-30,4440,Revenue,285569000.0,營業收入
2024-06-30,4440,TAX,2764000.0,所得稅費用（利益）
2024-06-30,4440,TotalConsolidatedProfitForThePeriod,34264000.0,本期綜合損益總額
2024-06-30,4440,TotalNonoperatingIncomeAndExpense,13987000.0,營業外收入及支出
2024-09-30,4440,CostOfGoodsSold,283175000.0,營業成本
2024-09-30,4440,EPS,0.38,基本每股盈餘
2024-09-30,4440,GrossProfit,33313000.0,營業毛利（毛損）
2024-09-30,4440,IncomeAfterTaxes,25819000.0,本期淨利（淨損）
2024-09-30,4440,IncomeFromContinuingOperations,25819000.0,繼續營業單位本期淨利（淨損）
2024-09-30,4440,OperatingExpenses,14153000.0,營業費用
2024-09-30,4440,OperatingIncome,19160000.0,營業利益（損失）
2024-09-30,4440,OtherComprehensiveIncome,-679000.0,其他綜合損益（淨額）
2024-09-30,4440,PreTaxIncome,29453000.0,稅前淨利（淨損）
2024-09-30,4440,Revenue,316488000.0,營業收入
2024-09-30,4440,TAX,3634000.0,所得稅費用（利益）
2024-09-30,4440,TotalConsolidatedProfitForThePeriod,25140000.0,本期綜合損益總額
2024-09-30,4440,TotalNonoperatingIncomeAndExpense,10293000.0,營業外收入及支出
2024-12-31,4440,CostOfGoodsSold,243779000.0,營業成本
2024-12-31,4440,EPS,0.38,基本每股盈餘
2024-12-31,4440,GrossProfit,42847000.0,營業毛利（毛損）
2024-12-31,4440,IncomeAfterTaxes,25266000.0,本期淨利（淨損）
2024-12-31,4440,IncomeFromContinuingOperations,25266000.0,繼續營業單位本期淨利（淨損）
2024-12-31,4440,OTHNOE,0.0,其他收益及費損淨額
2024-12-31,4440,OperatingExpenses,15268000.0,營業費用
2024-12-31,4440,OperatingIncome,27579000.0,營業利益（損失）
2024-12-31,4440,OtherComprehensiveIncome,-620000.0,其他綜合損益（淨額）
2024-12-31,4440,PreTaxIncome,29583000.0,稅前淨利（淨損）
2024-12-31,4440,Revenue,286626000.0,營業收入
2024-12-31,4440,TAX,4317000.0,所得稅費用（利益）
2024-12-31,4440,TotalConsolidatedProfitForThePeriod,24646000.0,本期綜合損益總額
2024-12-31,4440,TotalNonoperatingIncomeAndExpense,2004000.0,營業外收入及支出
2025-03-31,4440,CostOfGoodsSold,204106000.0,營業成本
2025-03-31,4440,EPS,-0.07,基本每股盈餘
2025-03-31,4440,GrossProfit,23012000.0,營業毛利（毛損）
2025-03-31,4440,IncomeAfterTaxes,-4783000.0,本期淨利（淨損）
2025-03-31,4440,IncomeFromContinuingOperations,-4783000.0,繼續營業單位本期淨利（淨損）
2025-03-31,4440,OperatingExpenses,10135000.0,營業費用
2025-03-31,4440,OperatingIncome,12877000.0,營業利益（損失）
2025-03-31,4440,OtherComprehensiveIncome,-471000.0,其他綜合損益（淨額）
2025-03-31,4440,PreTaxIncome,-1859000.0,稅前淨利（淨損）
2025-03-31,4440,Revenue,227118000.0,營業收入
2025-03-31,4440,TAX,2924000.0,所得稅費用（利益）
2025-03-31,4440,TotalConsolidatedProfitForThePeriod,-5254000.0,本期綜合損益總額
2025-03-31,4440,TotalNonoperatingIncomeAndExpense,-14736000.0,營業外收入及支出
2025-06-30,4440,CostOfGoodsSold,215724000.0,營業成本
2025-06-30,4440,EPS,0.42,基本每股盈餘
2025-06-30,4440,GrossProfit,21067000.0,營業毛利（毛損）
2025-06-30,4440,IncomeAfterTaxes,28243000.0,本期淨利（淨損）
2025-06-30,4440,IncomeFromContinuingOperations,28243000.0,繼續營業單位本期淨利（淨損）
2025-06-30,4440,OperatingExpenses,10308000.0,營業費用
2025-06-30,4440,OperatingIncome,10759000.0,營業利益（損失）
2025-06-30,4440,OtherComprehensiveIncome,-45000.0,其他綜合損益（淨額）
2025-06-30,4440,PreTaxIncome,29341000.0,稅前淨利（淨損）
2025-06-30,4440,Revenue,236791000.0,營業收入
2025-06-30,4440,TAX,1098000.0,所得稅費用（利益）
2025-06-30,4440,TotalConsolidatedProfitForThePeriod,28198000.0,本期綜合損益總額
2025-06-30,4440,TotalNonoperatingIncomeAndExpense,18582000.0,營業外收入及支出
2025-09-30,4440,CostOfGoodsSold,257674000.0,營業成本
2025-09-30,4440,EPS,0.19,基本每股盈餘
2025-09-30,4440,GrossProfit,29477000.0,營業毛利（毛損）
2025-09-30,4440,IncomeAfterTaxes,13003000.0,本期淨利（淨損）
2025-09-30,4440,IncomeFromContinuingOperations,13003000.0,繼續營業單位本期淨利（淨損）
2025-09-30,4440,OperatingExpenses,10264000.0,營業費用
2025-09-30,4440,OperatingIncome,19213000.0,營業利益（損失）
2025-09-30,4440,OtherComprehensiveIncome,-227000.0,其他綜合損益（淨額）
2025-09-30,4440,PreTaxIncome,16114000.0,稅前淨利（淨損）
2025-09-30,4440,Revenue,287151000.0,營業收入
2025-09-30,4440,TAX,3111000.0,所得稅費用（利益）
2025-09-30,4440,TotalConsolidatedProfitForThePeriod,12776000.0,本期綜合損益總額
2025-09-30,4440,TotalNonoperatingIncomeAndExpense,-3099000.0,營業外收入及支出
2025-12-31,4440,CostOfGoodsSold,265291000.0,營業成本
2025-12-31,4440,EPS,0.6,基本每股盈餘
2025-12-31,4440,GrossProfit,52886000.0,營業毛利（毛損）
2025-12-31,4440,IncomeAfterTaxes,40501000.0,本期淨利（淨損）
2025-12-31,4440,IncomeFromContinuingOperations,40501000.0,繼續營業單位本期淨利（淨損）
2025-12-31,4440,OTHNOE,0.0,其他收益及費損淨額
2025-12-31,4440,OperatingExpenses,11319000.0,營業費用
2025-12-31,4440,OperatingIncome,41567000.0,營業利益（損失）
2025-12-31,4440,OtherComprehensiveIncome,0.0,其他綜合損益（淨額）
2025-12-31,4440,PreTaxIncome,48384000.0,稅前淨利（淨損）
2025-12-31,4440,Revenue,318177000.0,營業收入
2025-12-31,4440,TAX,7883000.0,所得稅費用（利益）
2025-12-31,4440,TotalConsolidatedProfitForThePeriod,40501000.0,本期綜合損益總額
2025-12-31,4440,TotalNonoperatingIncomeAndExpense,6817000.0,營業外收入及支出
2026-03-31,4440,CostOfGoodsSold,243686000.0,營業成本
2026-03-31,4440,EPS,0.51,基本每股盈餘
2026-03-31,4440,GrossProfit,51040000.0,營業毛利（毛損）
2026-03-31,4440,IncomeAfterTaxes,34192000.0,本期淨利（淨損）
2026-03-31,4440,IncomeFromContinuingOperations,34192000.0,繼續營業單位本期淨利（淨損）
2026-03-31,4440,OperatingExpenses,9953000.0,營業費用
2026-03-31,4440,OperatingIncome,41087000.0,營業利益（損失）
2026-03-31,4440,OtherComprehensiveIncome,-603000.0,其他綜合損益（淨額）
2026-03-31,4440,PreTaxIncome,41791000.0,稅前淨利（淨損）
2026-03-31,4440,Revenue,294726000.0,營業收入
2026-03-31,4440,TAX,7599000.0,所得稅費用（利益）
2026-03-31,4440,TotalConsolidatedProfitForThePeriod,33589000.0,本期綜合損益總額
2026-03-31,4440,TotalNonoperatingIncomeAndExpense,704000.0,營業外收入及支出
2026-06-30,4440,CostOfGoodsSold,188306000.0,營業成本
2026-06-30,4440,EPS,0.67,基本每股盈餘
2026-06-30,4440,GrossProfit,50269000.0,營業毛利（毛損）
2026-06-30,4440,IncomeAfterTaxes,44957000.0,本期淨利（淨損）
2026-06-30,4440,IncomeFromContinuingOperations,44957000.0,繼續營業單位本期淨利（淨損）
2026-06-30,4440,OperatingExpenses,9545000.0,營業費用
2026-06-30,4440,OperatingIncome,40724000.0,營業利益（損失）
2026-06-30,4440,OtherComprehensiveIncome,1493000.0,其他綜合損益（淨額）
2026-06-30,4440,PreTaxIncome,51698000.0,稅前淨利（淨損）
2026-06-30,4440,Revenue,238575000.0,營業收入
2026-06-30,4440,TAX,6741000.0,所得稅費用（利益）
2026-06-30,4440,TotalConsolidatedProfitForThePeriod,46450000.0,本期綜合損益總額
2026-06-30,4440,TotalNonoperatingIncomeAndExpense,10974000.0,營業外收入及支出
